time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.030549417066374e-07,1.65601430703934e-08,10.00554884433004,1.8694996427370825e-05,0.00039054869658006197,0.0,-4.1935480824618305e-05,1.6313651039507963e-06,0.18494889760441857,0.0009276358176698449,0.01709314486126203,0.0,463.5262341808292,464.8672559628373,461.90351726561886,461.97664643535427
0.12000000000000001,-1.7667794978792765e-05,1.3488875262066688e-06,10.021241558353138,0.0005317201465464549,0.002470148308144182,0.0,-0.0007151848105752272,7.755727062555964e-05,0.3381078099577874,0.020578398892872933,0.056709942335866695,0.0,452.6455082131365,455.8223842312265,451.98362798859176,453.564222921546
0.18,-0.00013041809190537433,2.351656655625739e-05,10.04642983640437,0.002072837158088703,0.005657334010831683,0.0,-0.003411319986283289,0.0008176702146652859,0.5014419241270285,0.03432346854264354,0.044750496477086885,0.0,456.9788595315752,456.02645419336466,456.3475514101343,457.44332441924433
0.23999999999999996,-0.0004861845818782222,0.00013287443649102014,10.08337941330205,0.0042452568157091974,0.00849639031430982,0.0,-0.008781728873307817,0.0030837326257651602,0.7300894727620973,0.039729676076866935,0.05201096920320964,0.0,475.9159950728526,476.4724834960822,476.14610240226386,476.5599460010783
0.3,-0.0012376739167206403,0.0004334330448335048,10.13420115680598,0.006460476443011842,0.012088947225123547,0.0,-0.01667936436482507,0.007215000410034595,0.9637954883335492,0.03060994775742363,0.07220263755398967,0.0,477.2526880406401,478.7933150805626,478.38345340130655,477.68914026558724
0.36000000000000004,-0.002542133651411386,0.001026394503556254,10.197892490921548,0.008398311866663732,0.016780395269244686,0.0,-0.027326615758413438,0.0127684565735427,1.1590624860796495,0.03547408857222716,0.08806424461046732,0.0,466.95929683000736,468.1993081291057,466.4765020614302,466.85647081532574
0.4200000000000001,-0.0046015331307884995,0.0019999114588540594,10.273375869579677,0.010210505558982064,0.02255506006367458,0.0,-0.04196447555133048,0.0199129982653442,1.3568218856865393,0.01673832437849188,0.10895679330664525,0.0,467.6951794304563,469.32659959978594,468.76740801595764,467.3096268640329
0.48000000000000015,-0.007670397523386874,0.0034356731193023373,10.360306241785901,0.0112111666224326,0.029099134508559388,0.0,-0.0610738110592955,0.02805779749780399,1.5406072320491915,0.016556134400862173,0.10928902199402346,0.0,464.53179169582063,464.5677665637822,464.67155082108974,464.65717175449663
0.5400000000000001,-0.01199263978814281,0.005366469570386405,10.456775633389121,0.011741282790050711,0.03524489094749583,0.0,-0.08368149865386326,0.036389990403842006,1.6748283268483837,-0.014801047079834203,0.0829369604531603,0.0,450.5933599630801,448.4668086277209,451.8824895560482,449.34782114949246
0.6000000000000002,-0.01781317564742996,0.007806269121113293,10.561703033339345,0.010295597898164921,0.04032949597489921,0.0,-0.11087716397296088,0.04482414067161776,1.8225070897699367,-0.05883663570038324,0.08812936664929406,0.0,454.5173194898829,454.9389375974217,456.36054153349323,452.83184853610993
0.6600000000000003,-0.025424267271083042,0.01071927425481497,10.67658220344025,0.00637659150978287,0.04562801138910455,0.0,-0.14341904324126062,0.05185224161913985,2.0064699109729096,-0.0832258394382868,0.08866440558130256,0.0,466.3493705954162,466.3972399765227,466.89564267149643,464.98588291324444
0.7200000000000003,-0.03522076039851827,0.013970151651796513,10.804842640882544,0.0017985470095140954,0.05120457168245007,0.0,-0.18379595198402884,0.05590805301953267,2.2683628681606796,-0.06517339434790226,0.10035468909664196,0.0,489.3411954372063,490.21696134553287,488.67433728012065,490.0139222695563
0.7800000000000004,-0.047315870039437206,0.017346332423716936,10.943665232966085,6.280878338938127,0.05719054475539398,0.0,-0.21996893040234314,0.05622873009015425,2.3588381397230154,-0.07588062700012504,0.0985634917652357,0.0,439.6626151738976,439.52289009461344,439.2320175567704,438.3395146339381
0.8400000000000004,-0.061795281864556455,0.02065126197850865,11.089491034787365,6.276736974492341,0.06302290494981833,0.0,-0.2632972254571428,0.05346850160953717,2.5016749122688453,-0.057982734260458524,0.09434489382362171,0.0,455.28202730534025,454.95222392489154,456.1361233839,457.5595604353544
0.9000000000000005,-0.07906005100142843,0.02369812944064285,11.244765223527487,6.273872276490243,0.06964324772036257,0.0,-0.3128749616588507,0.04774556697418809,2.673688161636119,-0.03263113544903473,0.13106811874054025,0.0,463.1238957289459,466.0128119540573,465.5480333123695,467.5259543913227
0.9600000000000005,-0.09909024051647287,0.026392384512857716,11.405175910315153,6.272387302715256,0.07764308299006295,0.0,-0.35549000205619347,0.04191652148525172,2.673274506882467,-0.012399378738384023,0.1375054742487381,0.0,411.7166784111891,412.30369372525337,410.3179253679442,412.10990541272383
1.0200000000000005,-0.12216873038219171,0.02866620441965759,11.569949251223223,6.271258287981496,0.08563059262598749,0.0,-0.4146503636582714,0.03378580776856319,2.818735877853703,-0.036484812628350106,0.1224987180227767,0.0,459.30279797244873,458.12668545485394,459.50381947424125,457.5904987478072
1.0800000000000005,-0.14915138947759737,0.030396431879885204,11.74550218556492,6.269326351838609,0.09390418819918978,0.0,-0.4856650156416927,0.02365307644084862,3.032380560015603,-0.024771945578500806,0.15809631447927447,0.0,479.1631492102111,481.87692504356136,478.76146932956783,479.65148300362017
1.1400000000000006,-0.18037027752498871,0.03150968413682776,11.931433684357538,6.268043213337442,0.10297750225562385,0.0,-0.5559273046559142,0.013315158793353448,3.1648550915169107,-0.015352960324005866,0.13167941773321729,0.0,457.6816985061733,455.5946978564538,456.87758028736226,457.62794612947465
